name,email,organization_type,website,states_served,notes
University of Hawaii Cooperative Extension,ctahr@hawaii.edu,extension,https://www.ctahr.hawaii.edu,HI,University cooperative extension
New Mexico State University Extension,aces@nmsu.edu,extension,https://aces.nmsu.edu,NM,University cooperative extension
Montana State University Extension,extension@montana.edu,extension,https://www.msuextension.org,MT,University cooperative extension
South Dakota State University Extension,sdsu.extension@sdstate.edu,extension,https://extension.sdstate.edu,SD,University cooperative extension
North Dakota State University Extension,ndsu.extension@ndsu.edu,extension,https://www.ndsu.edu/agriculture/extension,ND,University cooperative extension
University of Nevada Cooperative Extension,unce@unr.nevada.edu,extension,https://extension.unr.edu,NV,University cooperative extension
University of Idaho Extension,uidahoext@uidaho.edu,extension,https://www.uidaho.edu/extension,ID,University cooperative extension
University of Wyoming Extension,uwext@uwyo.edu,extension,https://www.uwyo.edu/uwex,WY,University cooperative extension
University of Vermont Extension,uvmext@uvm.edu,extension,https://www.uvm.edu/extension,VT,University cooperative extension
University of Maine Cooperative Extension,uma.extension@maine.edu,extension,https://extension.umaine.edu,ME,University cooperative extension
University of New Hampshire Extension,extension.info@unh.edu,extension,https://extension.unh.edu,NH,University cooperative extension
University of Delaware Cooperative Extension,ce-info@udel.edu,extension,https://www.udel.edu/academics/colleges/canr/cooperative-extension,DE,University cooperative extension
West Virginia University Extension,wvuext@mail.wvu.edu,extension,https://extension.wvu.edu,WV,University cooperative extension
Oklahoma State University Extension,info@extension.okstate.edu,extension,https://extension.okstate.edu,OK,University cooperative extension
University of Arizona Cooperative Extension,azcoopext@email.arizona.edu,extension,https://extension.arizona.edu,AZ,University cooperative extension
University of Illinois Extension,info@extension.illinois.edu,extension,https://extension.illinois.edu,IL,University cooperative extension
Southern University Ag Center Extension,info@suagcenter.com,extension,https://www.suagcenter.com,LA,Historically Black land-grant extension
Alaska Cooperative Extension Service,ces@alaska.edu,extension,https://www.uaf.edu/ces,AK,University cooperative extension
University of Massachusetts Extension,umassext@umext.umass.edu,extension,https://ag.umass.edu/extension,MA,University cooperative extension
California Cooperative Extension,ucanr@ucanr.edu,extension,https://ucanr.edu,,University of California cooperative extension; national reach
Sierra Club,information@sierraclub.org,nonprofit,https://www.sierraclub.org,,National conservation nonprofit with drinking water and PFAS programs
League of Conservation Voters,lcv@lcv.org,nonprofit,https://www.lcv.org,,National environmental advocacy nonprofit
Surfrider Foundation,info@surfrider.org,nonprofit,https://www.surfrider.org,,Coastal water quality nonprofit
Oceana,info@oceana.org,nonprofit,https://oceana.org,,Marine conservation nonprofit with water quality programs
Center for Biological Diversity,center@biologicaldiversity.org,nonprofit,https://www.biologicaldiversity.org,,Environmental law nonprofit; PFAS and water contamination litigation
Conservation Law Foundation,clf@clf.org,nonprofit,https://www.clf.org,ME;NH;VT;MA;RI;CT,New England environmental law nonprofit
Delaware Riverkeeper Network,drn@delawareriverkeeper.org,nonprofit,https://www.delawareriverkeeper.org,PA;NJ;DE;NY,Regional watershed advocacy nonprofit
Tennessee Clean Water Network,info@tcwn.org,nonprofit,https://www.tcwn.org,TN,Statewide drinking water and waterway advocacy
Ohio Environmental Council,oec@theOEC.org,nonprofit,https://www.theoec.org,OH,State environmental policy nonprofit
Iowa Environmental Council,info@iaenvironment.org,nonprofit,https://www.iaenvironment.org,IA,State environmental policy nonprofit; drinking water focus
Prairie Rivers Network,info@prairierivers.org,nonprofit,https://www.prairierivers.org,IL,Illinois river and water quality nonprofit
Minnesota Center for Environmental Advocacy,mcea@mncenter.org,nonprofit,https://www.mncenter.org,MN,State environmental law and policy nonprofit
Michigan Environmental Council,info@environmentalcouncil.org,nonprofit,https://www.environmentalcouncil.org,MI,State environmental coalition
Clean Wisconsin,info@cleanwisconsin.org,nonprofit,https://www.cleanwisconsin.org,WI,State environmental advocacy nonprofit
Great Lakes United,glu@glu.org,nonprofit,https://glu.org,MI;WI;MN;OH;IN;IL;PA;NY,Great Lakes binational environmental coalition
Alliance for the Great Lakes,info@greatlakes.org,nonprofit,https://www.greatlakes.org,MI;WI;MN;OH;IN;IL,Great Lakes drinking water advocacy
Ohio Valley Environmental Coalition,info@ohvec.org,nonprofit,https://www.ohvec.org,WV;KY;OH,Appalachian water and environmental justice nonprofit
Kentucky Waterways Alliance,info@kwalliance.org,nonprofit,https://www.kwalliance.org,KY,State waterway advocacy nonprofit
Alabama Rivers Alliance,info@alariversalliance.org,nonprofit,https://alariversalliance.org,AL,State river and water quality nonprofit
Georgia River Network,info@garivers.org,nonprofit,https://www.garivers.org,GA,State river advocacy nonprofit
Missouri Coalition for the Environment,info@moenvironment.org,nonprofit,https://www.moenvironment.org,MO,State environmental advocacy nonprofit
PennEnvironment,info@pennenvironment.org,nonprofit,https://pennenvironment.org,PA,Pennsylvania environmental advocacy nonprofit
Environment New York,info@environmentnewyork.org,nonprofit,https://environmentnewyork.org,NY,State environmental advocacy nonprofit
Connecticut Fund for the Environment,info@ctenvironment.org,nonprofit,https://cfenv.org,CT,State environmental law nonprofit
Environment Texas,info@environmenttexas.org,nonprofit,https://environmenttexas.org,TX,State environmental advocacy nonprofit
Environment California,info@environmentcalifornia.org,nonprofit,https://environmentcalifornia.org,CA,State environmental advocacy nonprofit
Environment Virginia,info@environmentvirginia.org,nonprofit,https://environmentvirginia.org,VA,State environmental advocacy nonprofit
Environment North Carolina,info@environmentnc.org,nonprofit,https://environmentnc.org,NC,State environmental advocacy nonprofit
